NAME,i,STATE,SABB,DISTRICT,P,COMMITTEES,WEBSITE,LPP
"CASTOR, KATHY",103,FLORIDA,FL,FL-14,D,Select Committee on the Climate Crisis; Energy and Commerce,castorforcongress.com,0
"CASTRO, JOAQUIN",386,TEXAS,TX,TX-20,D,Education and Labor; Foreign Affairs; Intelligence,castroforcongress.com,0
"CHABOT, STEVE",303,OHIO,OH,OH-01,R,Foreign Affairs; Judiciary; Small Business,stevechabot.com,0
"CHENEY, LIZ",441,WYOMING,WY,WY-AL,R,Armed Services; Natural Resources,cheneyforwyoming.com,0
"CHU, JUDY",49,CALIFORNIA,CA,CA-27,D,Small Business; Ways and Means,judychu.org,0
"CICILLINE, DAVID",348,RHODE ISLAND,RI,RI-01,D,Foreign Affairs; Judiciary,cicilline.com,0
"CISNEROS, GILBERT RAY JR.",61,CALIFORNIA,CA,CA-39,D,Armed Services; Veterans' Affairs,cisnerosforcongress.com,0
"CLARK, KATHERINE",197,MASSACHUSETTS,MA,MA-05,D,Appropriations,katherineclark.org,0
"CLARKE, YVETTE D.",269,NEW YORK,NY,NY-09,D,Homeland Security; Energy and Commerce,voteyvette.com,1
"CLAY JR., WILLIAM ""LACY""",228,MISSOURI,MO,MO-01,D,Financial Services; Oversight and Reform; Natural Resources,lacyclay.org,0
"CLEAVER, EMANUEL",232,MISSOURI,MO,MO-05,D,Financial Services; Homeland Security; Select Committee on the Modernization of Congress,cleaverforcongress.com,0
"CLINE, BEN",414,VIRGINIA,VI,VI-06,R,Education and Labor; Judiciary,bencline.com,0
"CLOUD, MICHAEL",393,TEXAS,TX,TX-27,R,"Oversight and Reform; Science, Space, and Technology",cloudforcongress.com,0
"CLYBURN, JAMES E.",355,SOUTH CAROLINA,SC,SC-06,D,,clyburnforcongress.com,0
"COHEN, STEVE",366,TENNESSEE,TN,TN-09,D,"Judiciary; Transportation and Infrastructure; Science, Space, and Technology",cohenforcongress.com,0
"COLE, TOM",322,OKLAHOMA,OK,OK-04,R,Appropriations; Rules,tomcoleforcongress.com,1
"COLLINS, CHRIS",287,NEW YORK,NY,NY-27,R,,collinsforcongress.com,1
"COLLINS, DOUG",125,GEORGIA,GA,GA-09,R,Agriculture; Armed Services,collinsleads.com,1
"COMER, JAMES",171,KENTUCKY,KY,KY-01,R,Agriculture; Education and Labor; Oversight and Reform,jamescomer.com,0
"CONAWAY, K. MICHAEL",377,TEXAS,TX,TX-11,R,Agriculture; Armed Services; Intelligence,mikeconaway.com,0
"CONNOLLY, GERALD E. ""GERRY""",419,VIRGINIA,VI,VI-11,D,Foreign Affairs; Oversight and Reform,gerryconnolly.com,1
"COOK, PAUL",30,CALIFORNIA,CA,CA-08,R,Armed Services; Natural Resources,joinpaulcook.com,0
"COOPER, JIM",362,TENNESSEE,TN,TN-05,D,Armed Services; Budget; Oversight and Reform,cooperfornc.com,0
"CORREA, J. LUIS",68,CALIFORNIA,CA,CA-46,D,Homeland Security; Judiciary,loucorrea.com,0
"COSTA, JIM",38,CALIFORNIA,CA,CA-16,D,Agriculture; Foreign Affairs; Natural Resources,jimcosta.com,0
"COURTNEY, JOE",84,CONNECTICUT,CT,CT-02,D,Armed Services; Education and Labor,joecourtney.com,0
"COX, TJ",43,CALIFORNIA,CA,CA-21,D,Agriculture; Natural Resources,tjcoxforcongress.com,0
"CRAIG, ANGIE",217,MINNESOTA,MN,MN-02,D,Agriculture; Transportation and Infrastructure; Small Business,angiecraig.com,0
"CRAWFORD, RICK",19,ARKANSAS,AR,AR-01,R,Agriculture; Intelligence; Transportation and Infrastructure,meetrickcrawford.com,0
"CRENSHAW, DAN",368,TEXAS,TX,TX-02,R,Budget; Homeland Security,crenshawforcongress.com,1
"CRIST, CHARLIE",102,FLORIDA,FL,FL-13,D,"Appropriations; Science, Space, and Technology",charliecrist.com,1
"CROW, JASON",81,COLORADO,CO,CO-06,D,Armed Services; Small Business,jasoncrowforcongress.com,0
"CUELLAR, HENRY",394,TEXAS,TX,TX-28,D,Appropriations,henrycuellar.com,0
"CUMMINGS, ELIJAH",191,MARYLAND,MD,MD-07,D,Oversight and Reform; Transportation and Infrastructure,cummingsforcongress.com,1
"CUNNINGHAM, JOE",350,SOUTH CAROLINA,SC,SC-01,D,Natural Resources; Veterans' Affairs,joecunninghamforcongress.com,0
"CURTIS, JOHN R.",405,UTAH,UT,UT-03,R,Foreign Affairs; Natural Resources,johncurtis.org,0
"DAVIDS, SHARICE",169,KANSAS,KS,KS-03,D,Transportation and Infrastructure; Small Business,shariceforcongress.com,1
"DAVIDSON, WARREN",310,OHIO,OH,OH-08,R,Financial Services,davidsonforcongress.com,0
"DAVIS, DANNY K.",142,ILLINOIS,IL,IL-07,D,Ways and Means,dkdcongress.com,0
"DAVIS, RODNEY",148,ILLINOIS,IL,IL-13,R,Agriculture; House Administration; Joint Committee of Congress on the Library; Select Committee on the Modernization of Congress; Transportation and Infrastructure,electrodney.com,1
"DAVIS, SUSAN",75,CALIFORNIA,CA,CA-53,D,Armed Services; Education and Labor; House Administration,susandavisforcongress.com,0
"DEAN, MADELEINE",332,PENNSYLVANIA,PA,PA-04,D,Financial Services; Judiciary,mad4pa.com,0
"DEFAZIO, PETER",327,OREGON,OR,OR-04,D,Transportation and Infrastructure,defazioforcongress.org,1
"DEGETTE, DIANA",76,COLORADO,CO,CO-01,D,Energy and Commerce; Natural Resources,degette.com,0
"DELAURO, ROSA L.",85,CONNECTICUT,CT,CT-03,D,Appropriations; Budget,rosadelauro.com,0
"DELBENE, SUZAN",420,WASHINGTON,WA,WA-01,D,Select Committee on the Modernization of Congress; Ways and Means,delbeneforcongress.com,1
"DELGADO, ANTONIO",279,NEW YORK,NY,NY-19,D,Agriculture; Transportation and Infrastructure; Small Business,delgadoforcongress.com,0
"DEMINGS, VAL",99,FLORIDA,FL,FL-10,D,Homeland Security; Intelligence; Judiciary,valdemings.com,0
"DESAULNIER, MARK",33,CALIFORNIA,CA,CA-11,D,Education and Labor; Oversight and Reform; Transportation and Infrastructure; Rules,desaulnierforcongress.com,1
"DESJARLAIS, SCOTT",361,TENNESSEE,TN,TN-04,R,Agriculture; Armed Services,scottdesjarlais.com,0
"DEUTCH, TED",111,FLORIDA,FL,FL-22,D,Foreign Affairs; Judiciary; Ethics,tedforcongress.com,0
"DIAZ-BALART, MARIO",114,FLORIDA,FL,FL-25,R,Appropriations,mariodiazbalart.org,1
"DINGELL, DEBBIE",213,MICHIGAN,MI,MI-12,D,Energy and Commerce; Natural Resources,debbiedingellforcongress.com,0
"DOGGETT, LLOYD",401,TEXAS,TX,TX-35,D,Budget; Joint Committee on Taxation; Ways and Means,votedoggett.com,0
"DOYLE, MICHAEL",346,PENNSYLVANIA,PA,PA-18,D,Energy and Commerce,mikedoyleforcongress.com,0
"DUFFY, SEAN P.",439,WISCONSIN,WI,WI-07,R,Financial Services,duffyforwisconsin.com,1
"DUNCAN, JEFF",352,SOUTH CAROLINA,SC,SC-03,R,Energy and Commerce,jeffduncan.com,0
"DUNN, NEAL",91,FLORIDA,FL,FL-02,R,Agriculture; Veterans' Affairs,nealdunn.com,1
"EMMER, TOM",221,MINNESOTA,MN,MN-06,R,Financial Services,emmerforcongress.com,1
"ENGEL, ELIOT",276,NEW YORK,NY,NY-16,D,Foreign Affairs; Energy and Commerce,engelforcongress.com,0
"ESCOBAR, VERONICA",382,TEXAS,TX,TX-16,D,Armed Services; Judiciary,veronicaescobar.com,1
"ESHOO, ANNA G.",40,CALIFORNIA,CA,CA-18,D,Energy and Commerce,annaeshoo4congress.com,0
"ESPAILLAT, ADRIANO",273,NEW YORK,NY,NY-13,D,Foreign Affairs; Transportation and Infrastructure; Small Business,?,NA
"ESTES, RON",170,KANSAS,KS,KS-04,R,Ways and Means,estesforcongress.com,0
"EVANS, DWIGHT",331,PENNSYLVANIA,PA,PA-03,D,Small Business; Ways and Means,dwightevans.com,1
"FERGUSON, A. DREW",119,GEORGIA,GA,GA-03,R,Ways and Means,fergusonforgeorgia.com,1
"FINKENAUER, ABBY",163,IOWA,IA,IA-01,D,Transportation and Infrastructure; Small Business,abbyfinkenauer.com,1
"FITZPATRICK, BRIAN",329,PENNSYLVANIA,PA,PA-01,R,Foreign Affairs; Transportation and Infrastructure,brianfitzpatrick.com,1
"FLEISCHMANN, CHUCK",360,TENNESSEE,TN,TN-03,R,Appropriations,chuckforcongress.com,0
"FLETCHER, LIZZIE",373,TEXAS,TX,TX-07,D,"Transportation and Infrastructure; Science, Space, and Technology",lizziefletcher.com,0
"FLORES, BILL",383,TEXAS,TX,TX-17,R,Budget; Energy and Commerce,billflores.com,1
"FORTENBERRY, JEFF",237,NEBRASKA,NE,NE-01,R,Appropriations,supportfort.com,0
"FOSTER, BILL",146,ILLINOIS,IL,IL-11,D,"Financial Services; Science, Space, and Technology",billfoster.com,0
"FOXX, VIRGINIA",292,NORTH CAROLINA,NC,NC-05,R,Education and Labor; Oversight and Reform,virginiafoxx.com,1
"FRANKEL, LOIS",110,FLORIDA,FL,FL-21,D,Appropriations,loisfrankelforcongress.com,0
"FUDGE, MARCIA L.",313,OHIO,OH,OH-11,D,Agriculture; Education and Labor; House Administration,marcialfudge.com,0
"FULCHER, RUSS",134,IDAHO,ID,ID-01,R,Education and Labor; Natural Resources,russfulcher.com,1
"GABBARD, TULSI",133,HAWAII,HI,HI-02,D,Armed Services; Financial Services,tulsi2020.com,1
"GAETZ, MATT",90,FLORIDA,FL,FL-01,R,Armed Services; Judiciary,mattgaetz.com,1
"GALLAGHER, MIKE",440,WISCONSIN,WI,WI-08,R,Armed Services; Transportation and Infrastructure,mikeforwisconsin.com,0
"GALLEGO, RUBEN",16,ARIZONA,AZ,AZ-07,D,Armed Services; Natural Resources,gallegoforarizona.com,0
"GARAMENDI, JOHN",25,CALIFORNIA,CA,CA-03,D,Armed Services; Transportation and Infrastructure,garamendi.org,0
"GARCÍA, JESÚS ""CHUY""",139,ILLINOIS,IL,IL-04,D,Financial Services; Transportation and Infrastructure,jesuschuygarcia.com,0
"GARCIA, SYLVIA",395,TEXAS,TX,TX-29,D,Financial Services; Judiciary,sylviaforcongress.com,1
"GIANFORTE, GREG",236,MONTANA,MT,MT-AL,R,Energy and Commerce,gregformontana.com,1
"GIBBS, BOB",309,OHIO,OH,OH-07,R,Oversight and Reform; Transportation and Infrastructure,bobgibbsforcongress.com,1
"GOHMERT, LOUIE",367,TEXAS,TX,TX-01,R,Natural Resources; Judiciary,gohmert.com,0
"GOLDEN, JARED",184,MAINE,ME,ME-02,D,Armed Services; Small Business,jaredgoldenforcongress.com,1
"GOMEZ, JIMMY",56,CALIFORNIA,CA,CA-34,D,Oversight and Reform; Ways and Means,jimmygomezforcongress.com,0
"GONZALEZ, ANTHONY",318,OHIO,OH,OH-16,R,"Financial Services; Science, Space, and Technology",voteanthonygonzalez.com,1
"GONZALEZ, VICENTE",381,TEXAS,TX,TX-15,D,Financial Services; Foreign Affairs,vicentegonzalez.com,0
"GOODEN, LANCE",371,TEXAS,TX,TX-05,R,Financial Services,lancegooden.com,0
"GOSAR, PAUL A.",13,ARIZONA,AZ,AZ-04,R,Oversight and Reform; Natural Resources,drpaulgosar.com,1
"GOTTHEIMER, JOSH",250,NEW JERSEY,NJ,NJ-05,D,Financial Services,josh4congress.com,0
"GRANGER, KAY",378,TEXAS,TX,TX-12,R,Appropriations,kaygranger.com,1
"GRAVES, GARRET",182,LOUISIANA,LA,LA-06,R,Select Committee on the Climate Crisis; Natural Resources; Transportation and Infrastructure,garretgravesforcongress.com,0
"GRAVES, SAM",233,MISSOURI,MO,MO-06,R,Armed Services; Transportation and Infrastructure,gravesforcongress.com,1
"GRAVES, TOM",130,GEORGIA,GA,GA-14,R,Appropriations; Select Committee on the Modernization of Congress,gravesforcongress.org,1
"GREEN, AL",375,TEXAS,TX,TX-09,D,Financial Services; Homeland Security,algreen.org,0
"GREEN, MARK",364,TENNESSEE,TN,TN-07,R,Oversight and Reform; Homeland Security,markgreen4tn.com,0
"GRIFFITH, MORGAN",417,VIRGINIA,VI,VI-09,R,Select Committee on the Climate Crisis; Energy and Commerce,morgangriffithforcongress.com,0
"GRIJALVA, RAUL",12,ARIZONA,AZ,AZ-03,D,Education and Labor; Natural Resources,standwithraul.com,0
"GROTHMAN, GLENN",438,WISCONSIN,WI,WI-06,R,Education and Labor; Oversight and Reform,glenngrothman.com,1
"GUEST, MICHAEL",226,MISSISSIPPI,MS,MS-03,R,Foreign Affairs; Homeland Security; Ethics,michaelguest.ms,1
"GUTHRIE, S. BRETT",172,KENTUCKY,KY,KY-02,R,Education and Labor; Energy and Commerce,brettguthrie.com,1
"HAALAND, DEBRA",258,NEW MEXICO,NM,NM-01,D,Armed Services; Natural Resources,debforcongress.com,1
"HAGEDORN, JIM",216,MINNESOTA,MN,MN-01,R,Agriculture; Small Business,jimhagedorn.org,0
"HARDER, JOSH",32,CALIFORNIA,CA,CA-10,D,Agriculture; Education and Labor,harderforcongress.com,1
"HARRIS, ANDY",185,MARYLAND,MD,MD-01,R,Appropriations,andyharris.com,0
"HARTZLER, VICKY",231,MISSOURI,MO,MO-04,R,Agriculture; Armed Services,vickyhartzler.com,0
"HASTINGS, ALCEE L.",109,FLORIDA,FL,FL-20,D,Rules,alceeforcongress.com,0
"HAYES, JAHANA",87,CONNECTICUT,CT,CT-05,D,Agriculture; Education and Labor,jahanahayes.com,1
"HECK, DENNY",429,WASHINGTON,WA,WA-10,D,Financial Services; Intelligence,dennyheckforcongress.com,0
"HERN, KEVIN",319,OKLAHOMA,OK,OK-01,R,Budget; Natural Resources; Small Business,hernforcongress.com,1
"HERRERA BEUTLER, JAIME",422,WASHINGTON,WA,WA-03,R,"Appropriations; Science, Space, and Technology",votejaime.com,0
"HICE, JODY",126,GEORGIA,GA,GA-10,R,Oversight and Reform; Natural Resources,jodyhice.com,0
"HIGGINS, BRIAN",286,NEW YORK,NY,NY-26,D,Budget; Ways and Means,higginsforcongress.com,0
"HIGGINS, CLAY",179,LOUISIANA,LA,LA-03,R,Oversight and Reform; Homeland Security,captainhiggins.com,0
"HILL, FRENCH",20,ARKANSAS,AR,AR-02,R,Financial Services,electfrench.com,1
"HILL, KATIE",47,CALIFORNIA,CA,CA-25,D,"Armed Services; Oversight and Reform; Science, Space, and Technology",katiehillforcongress.com,0
"HIMES, JIM",86,CONNECTICUT,CT,CT-04,D,Financial Services; Intelligence,himesforcongress.com,1
"HOLDING, GEORGE",289,NORTH CAROLINA,NC,NC-02,R,Budget; Ethics; Ways and Means,georgeholdingforcongress.com,1
"HOLLINGSWORTH, TREY",162,INDIANA,IN,IN-09,R,Financial Services,votefortrey.com,0
"HORN, KENDRA",323,OKLAHOMA,OK,OK-05,D,"Armed Services; Science, Space, and Technology",kendrahornforcongress.com,1
"HORSFORD, STEVEN",243,NEVADA,NV,NV-04,D,Budget; Natural Resources; Ways and Means,stevenhorsford.com,0
"HOULAHAN, CHRISSY",334,PENNSYLVANIA,PA,PA-06,D,Armed Services; Foreign Affairs; Small Business,chrissyhoulahanforcongress.com,0
"HOYER, STENY H.",189,MARYLAND,MD,MD-05,D,,hoyerforcongress.com,0
"HUDSON, RICHARD",295,NORTH CAROLINA,NC,NC-08,R,Energy and Commerce,richardhudson.org,1
"HUFFMAN, JARED",24,CALIFORNIA,CA,CA-02,D,Select Committee on the Climate Crisis; Natural Resources; Transportation and Infrastructure,jaredhuffman.com,0
"HUIZENGA, BILL",203,MICHIGAN,MI,MI-02,R,Financial Services,huizengaforcongress.com,1
"HUNTER, DUNCAN D.",72,CALIFORNIA,CA,CA-50,R,,hunterforcongress.com,0
"HURD, WILL",389,TEXAS,TX,TX-23,R,Appropriations; Intelligence,hurdforcongress.com,1
"JACKSON LEE, SHEILA",384,TEXAS,TX,TX-18,D,Budget; Homeland Security; Judiciary,sheilajacksonlee18.com,0
"JAYAPAL, PRAMILA",426,WASHINGTON,WA,WA-07,D,Budget; Education and Labor; Judiciary,pramilaforcongress.com,0
"JEFFRIES, HAKEEM",268,NEW YORK,NY,NY-08,D,Budget; Judiciary,hakeemjeffries.com,1
"JOHNSON, BILL",308,OHIO,OH,OH-06,R,Budget; Energy and Commerce,billjohnsonleads.com,0
"JOHNSON, DUSTY",357,SOUTH DAKOTA,SD,SD-AL,R,Agriculture; Education and Labor,dustyjohnson.com,0
"JOHNSON, EDDIE BERNICE",396,TEXAS,TX,TX-30,D,"Transportation and Infrastructure; Science, Space, and Technology",ebjcampaign.com,0
"JOHNSON, HENRY C. ""HANK"" JR.",120,GEORGIA,GA,GA-04,D,Judiciary; Transportation and Infrastructure,hankforcongress.com,0
"JOHNSON, MIKE",180,LOUISIANA,LA,LA-04,R,Natural Resources; Judiciary,mikejohnsonforlouisiana.com,1
"JORDAN, JIM",306,OHIO,OH,OH-04,R,Oversight and Reform; Judiciary,jimjordanforcongress.com,0
"JOYCE, DAVID",316,OHIO,OH,OH-14,R,Appropriations,joyceforcongress.com,1
"JOYCE, JOHN",341,PENNSYLVANIA,PA,PA-13,R,Homeland Security; Small Business,johnjoyceforcongress.com,1
"KAPTUR, MARCY",311,OHIO,OH,OH-09,D,Appropriations,marcykaptur.com,0
"KATKO, JOHN",284,NEW YORK,NY,NY-24,R,Homeland Security; Transportation and Infrastructure,johnkatkoforcongress.com,1
"KEATING, WILLIAM",201,MASSACHUSETTS,MA,MA-09,D,Armed Services; Foreign Affairs,keatingforcongress.com,0
"KELLER, FRED",340,PENNSYLVANIA,PA,PA-12,R,,fredkellerforcongress.com,1
"KELLY, MIKE",344,PENNSYLVANIA,PA,PA-16,R,Ways and Means,mikekellyforcongress.com,1
"KELLY, ROBIN",137,ILLINOIS,IL,IL-02,D,Oversight and Reform; Energy and Commerce,robinkellyforcongress.org,0
"KELLY, TRENT",224,MISSISSIPPI,MS,MS-01,R,Agriculture; Armed Services; Small Business,kellyformississippi.com,1
"KENNEDY III, JOSEPH P.",196,MASSACHUSETTS,MA,MA-04,D,Energy and Commerce,joekennedyforcongress.com,1
"KHANNA, RO",39,CALIFORNIA,CA,CA-17,D,Armed Services; Budget; Oversight and Reform,rokhanna.com,1
"KILDEE, DANIEL",206,MICHIGAN,MI,MI-05,D,Budget; Ways and Means,dankildee.com,1
"KILMER, DEREK",425,WASHINGTON,WA,WA-06,D,Appropriations; Select Committee on the Modernization of Congress,derekkilmer.com,0
"KIM, ANDY",248,NEW JERSEY,NJ,NJ-03,D,Armed Services; Small Business,andykimforcongress.com,1
"KIND, RON",435,WISCONSIN,WI,WI-03,D,Ways and Means,ronkind.org,0
"KING, PETE",262,NEW YORK,NY,NY-02,R,Financial Services; Homeland Security,peteking.com,0
"KING, STEVE",166,IOWA,IA,IA-04,R,Financial Services,steveking.com,0
"KINZINGER, ADAM",151,ILLINOIS,IL,IL-16,R,Foreign Affairs; Energy and Commerce,electadam.com,0
"KIRKPATRICK, ANN",11,ARIZONA,AZ,AZ-02,D,Agriculture; Appropriations,kirkpatrickforcongress.com,0
"KRISHNAMOORTHI, RAJA",143,ILLINOIS,IL,IL-08,D,Oversight and Reform; Intelligence,rajaforcongress.com,1
"KUSTER, ANN",245,NEW HAMPSHIRE,NH,NH-02,D,Energy and Commerce,kusterforcongress.com,0
"KUSTOFF, DAVID",365,TENNESSEE,TN,TN-08,R,Financial Services,kustoffforcongress.com,1
"LAHOOD, DARIN",153,ILLINOIS,IL,IL-18,R,Ways and Means,lahoodforcongress.com,1
"LAMALFA, DOUG",23,CALIFORNIA,CA,CA-01,R,Agriculture; Transportation and Infrastructure,douglamalfa.com,1
"LAMB, CONOR",345,PENNSYLVANIA,PA,PA-17,D,"Science, Space, and Technology; Veterans' Affairs",conorlamb.com,1
"LAMBORN, DOUG",80,COLORADO,CO,CO-05,R,Armed Services; Natural Resources,lambornforcongress.org,0
"LANGEVIN, JIM",349,RHODE ISLAND,RI,RI-02,D,Armed Services; Homeland Security,jimlangevin.com,0
"LARSEN, RICK",421,WASHINGTON,WA,WA-02,D,Armed Services; Transportation and Infrastructure,ricklarsen.org,1
"LARSON, JOHN B.",83,CONNECTICUT,CT,CT-01,D,Ways and Means,larsonforcongress.org,0
"LATTA, ROBERT E.",307,OHIO,OH,OH-05,R,Energy and Commerce,lattaforcongress.com,1
"LAWRENCE, BRENDA",215,MICHIGAN,MI,MI-14,D,Appropriations; Oversight and Reform,brendalawrence.com,0
"LAWSON, AL",94,FLORIDA,FL,FL-05,D,Agriculture; Financial Services,allawson.com,1
"LEE, BARBARA",35,CALIFORNIA,CA,CA-13,D,Appropriations; Budget,barbaraleeforcongress.org,0
"LEE, SUSIE",242,NEVADA,NV,NV-03,D,Education and Labor; Veterans' Affairs,susieleeforcongress.com,0
"LESKO, DEBBIE",17,ARIZONA,AZ,AZ-08,R,Homeland Security; Judiciary; Rules,debbieleskoforcongress.com,1
"LEVIN, ANDY",210,MICHIGAN,MI,MI-09,D,Education and Labor; Foreign Affairs,andylevinforcongress.com,0
